year,units,value,tourism_activity,breakdown_of_domestic_tourism,activity_type
2019,million pounds (GBP),1662,Shopping,Expenditure,Shopping
2016,million pounds (GBP),469,Live sporting event,Expenditure,Live event
2014,million pounds (GBP),892,Night out,Expenditure,Drinking & Dining
2017,million pounds (GBP),354,Private event,Expenditure,Other
2015,million pounds (GBP),400,Live sporting event,Expenditure,Live event
2014,million pounds (GBP),421,Live sporting event,Expenditure,Live event
2013,million pounds (GBP),243,Live sporting event,Expenditure,Live event
2015,million pounds (GBP),264,Indoor leisure activity,Expenditure,Leisure activity
2018,million pounds (GBP),285,Indoor leisure activity,Expenditure,Leisure activity
2014,million pounds (GBP),1536,Shopping,Expenditure,Shopping
2018,million pounds (GBP),265,Private event,Expenditure,Other
2016,million pounds (GBP),261,Indoor leisure activity,Expenditure,Leisure activity
2017,million pounds (GBP),421,Indoor leisure activity,Expenditure,Leisure activity
2014,million pounds (GBP),469,Indoor leisure activity,Expenditure,Leisure activity
2019,million pounds (GBP),476,Sport participation,Expenditure,Leisure activity
2017,million pounds (GBP),374,Sport participation,Expenditure,Leisure activity
2015,million pounds (GBP),392,Public event,Expenditure,Live event
2019,million pounds (GBP),629,Public event,Expenditure,Live event
2014,million pounds (GBP),311,Public event,Expenditure,Live event
2016,million pounds (GBP),205,Public event,Expenditure,Live event
2017,million pounds (GBP),394,Public event,Expenditure,Live event
2016,million pounds (GBP),1892,Dining out,Expenditure,Drinking & Dining
2014,million pounds (GBP),1966,Dining out,Expenditure,Drinking & Dining
2017,million pounds (GBP),551,Live sporting event,Expenditure,Live event
2013,million pounds (GBP),1675,Dining out,Expenditure,Drinking & Dining
2019,million pounds (GBP),551,Live sporting event,Expenditure,Live event
2013,million pounds (GBP),228,Public event,Expenditure,Live event
2018,million pounds (GBP),496,Live sporting event,Expenditure,Live event
2018,million pounds (GBP),1538,Shopping,Expenditure,Shopping
2016,million pounds (GBP),273,Private event,Expenditure,Other
2017,million pounds (GBP),1561,Shopping,Expenditure,Shopping
2019,million pounds (GBP),266,Private event,Expenditure,Other
2015,million pounds (GBP),1033,Shopping,Expenditure,Shopping
2014,million pounds (GBP),71,Spa day,Expenditure,Leisure activity
2013,million pounds (GBP),1512,Shopping,Expenditure,Shopping
