year,country,purpose,mode,duration,age,visits_thousands,nights_thousands,expenditure_millions,cluster_group
2002,USA,Holiday,Air,4-7 nights,0-15,0.27,1.6,0.16,smaller spenders
2002,USA,Holiday,Air,4-7 nights,16-24,1.08,4.62,0.25,smaller spenders
2002,USA,Holiday,Air,4-7 nights,25-34,0.99,5.03,0.81,smaller spenders
2002,USA,Holiday,Air,4-7 nights,45-54,0.35,1.8,0.08,smaller spenders
2002,USA,Holiday,Air,4-7 nights,65+,1.66,10.09,0.62,smaller spenders
2002,USA,Holiday,Air,8-14 nights,0-15,0.23,1.63,0.11,smaller spenders
2002,USA,Holiday,Air,8-14 nights,16-24,0.2,0.4,0.04,smaller spenders
2002,USA,Holiday,Air,8-14 nights,25-34,1.51,12.55,0.18,smaller spenders
2002,USA,Holiday,Air,8-14 nights,35-44,1.43,6.86,0.69,smaller spenders
2002,USA,Holiday,Air,8-14 nights,45-54,2.38,20.43,0.8,smaller spenders
2002,USA,Holiday,Air,8-14 nights,55-64,1.28,4.11,0.28,smaller spenders
2002,USA,Holiday,Air,8-14 nights,65+,0.22,1.56,0.11,smaller spenders
2002,USA,Holiday,Air,15+ nights,25-34,1.08,17.08,0.39,smaller spenders
2002,USA,Holiday,Air,15+ nights,35-44,0.35,1.8,0.07,smaller spenders
2002,USA,Holiday,Air,15+ nights,45-54,1.04,17.93,1.66,smaller spenders
2002,USA,Holiday,Air,15+ nights,65+,0.21,0.42,0.03,smaller spenders
2002,USA,Holiday,Tunnel,4-7 nights,35-44,0.45,1.34,0.02,smaller spenders
2002,USA,Business,Air,1-3 nights,35-44,0.21,0.62,0.07,smaller spenders
2002,USA,Business,Air,1-3 nights,55-64,1.36,1.93,0.25,smaller spenders
2002,USA,Business,Air,4-7 nights,25-34,1.02,1.78,0.15,smaller spenders
2002,USA,Business,Air,4-7 nights,35-44,0.96,3.67,0.52,smaller spenders
2002,USA,Business,Air,4-7 nights,45-54,1.28,5.98,0.84,smaller spenders
2002,USA,Business,Air,4-7 nights,55-64,0.99,3.96,0.69,smaller spenders
