year,value,units,accommodation_type,occupancy_type,weekday_weekend,size_of_accommodation,location,is_accessible,is_urban
2012,52.32,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2015,49.18,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2018,63.57,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2013,53.35,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2018,40.45,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2019,43.93,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2016,38.76,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2017,60.24,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2016,45.44,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2015,46.54,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2016,46.89,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2017,56.39,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2014,57.59,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2011,52.08,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2015,59.8,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2018,42.26,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2015,49.82,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2011,49.63,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2013,55.21,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2015,47.66,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2013,40.28,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2012,49.18,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2017,50.28,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2016,41.52,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2016,48.02,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2013,62.49,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2011,43.71,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2014,48.47,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2018,54.93,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2018,43.06,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2012,31.04,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2016,55.97,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2012,43.89,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2017,51.67,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2012,41.85,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2013,47.3,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2017,39.74,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2018,58.62,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2018,46.67,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2019,34.58,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2011,59.74,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2019,47.61,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2011,30.85,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2016,66.24,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2019,50.65,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2013,44.32,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2019,50.04,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2016,43.75,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2016,41.76,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2019,54.37,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2011,44.58,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2016,39.89,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2011,44.08,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2018,51.09,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2011,50.13,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2012,39.07,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2017,44.86,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2016,37.44,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2018,80.22,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2015,40.26,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2019,26.24,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Rural,True,False
2017,46.19,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2016,53.85,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2012,44.1,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2012,43.36,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2018,50.3,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2015,48.52,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2014,55.8,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2014,47.16,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2014,46.21,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2016,52.16,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2013,51.56,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2017,56.97,Percentage,Guest House/B&B , Room Occupancy,All,All,Large Urban Areas,True,True
2014,45.05,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2014,39.77,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 01-03,All,False,False
2012,42.49,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2015,44.88,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2012,57.4,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2015,52.6,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2015,45.41,Percentage,Guest House/B&B , Room Occupancy,All,All,All,False,False
2019,63.22,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2013,48.45,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 04-10,All,False,False
2017,43.93,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Rural,False,False
2018,58.67,Percentage,Guest House/B&B , Room Occupancy,All,All,Other Urban Areas,True,True
2019,87.93,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2016,38.78,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2018,49.62,Percentage,Guest House/B&B , Room Occupancy,All,All,Accessible Small Towns,True,False
2012,54.86,Percentage,Guest House/B&B , Room Occupancy,All,Rooms: 11-25,All,False,False
2017,46.15,Percentage,Guest House/B&B , Room Occupancy,All,All,Remote Small Towns,False,False
2015,48.29,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2013,53.92,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2016,48.37,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2019,26.6,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2017,66.13,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2017,51.02,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2012,31.4,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2015,42.32,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2015,42.06,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2012,40.62,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,39.53,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2019,21.22,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2019,42.18,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2019,44.28,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2018,50.61,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2011,37.79,Percentage,Self Catering , Unit Occupancy,All,All,Remote Small Towns,False,False
2013,41.95,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2016,44.52,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2016,58.52,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2011,56.28,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
2011,42.42,Percentage,Self Catering , Unit Occupancy,All,All,All,False,False
2014,44.2,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2016,45.62,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2013,39.17,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2012,39.83,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2018,54.93,Percentage,Hostels , Bed Occupancy,All,All,Large Urban Areas,True,True
2013,42.54,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2017,50.57,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2016,39.14,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2014,39.41,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2019,65.28,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2015,40.1,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2016,44.25,Percentage,Guest House/B&B , Bed Occupancy,All,All,Large Urban Areas,True,True
2011,40.37,Percentage,Guest House/B&B , Bed Occupancy,All,All,Remote Rural,False,False
2018,55.31,Percentage,Hostels , Bed Occupancy,All,All,All,False,False
2013,44.91,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2016,36.84,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2017,46.96,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 04-10,All,False,False
2014,42.21,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Small Towns,True,False
2011,21.66,Percentage,Hostels , Bed Occupancy,All,All,Remote Small Towns,False,False
2018,35.28,Percentage,Guest House/B&B , Bed Occupancy,All,Rooms: 01-03,All,False,False
2013,45.38,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2018,27.63,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2017,35.68,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2012,41.74,Percentage,Guest House/B&B , Bed Occupancy,All,All,Accessible Rural,True,False
2017,60.18,Percentage,Hotels , Bed Occupancy,All,Rooms: greater than 100,All,False,False
2012,63.51,Percentage,Self Catering , Unit Occupancy,All,All,Large Urban Areas,True,True
2014,45.31,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Small Towns,True,False
2015,43.81,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2017,51.63,Percentage,Self Catering , Unit Occupancy,All,All,Other Urban Areas,True,True
2018,54.93,Percentage,Self Catering , Unit Occupancy,All,All,Remote Rural,False,False
2017,54.49,Percentage,Self Catering , Unit Occupancy,All,All,Accessible Rural,True,False
